frame,numero_pers,joint,x,y,tracking
12,1,23,1581.07,856.965,1
12,1,24,1657.49,880.395,1
13,0,0,362.477,362.568,0
13,0,1,318.338,433.152,0
13,0,2,262.375,442.028,0
13,0,3,268.199,550.766,0
13,0,4,342.037,530.248,0
13,0,5,377.214,418.438,0
13,0,6,433.185,503.747,0
13,0,7,415.553,553.854,0
13,0,8,362.587,624.525,0
13,0,9,321.348,633.255,0
13,0,10,318.524,759.854,0
13,0,11,339.026,889.342,0
13,0,12,403.649,621.453,0
13,0,13,394.936,742.339,0
13,0,14,400.777,857.002,0
13,0,15,344.841,347.83,0
13,0,16,365.395,347.769,0
13,0,17,306.641,362.353,0
13,0,18,0,0,0
13,0,19,459.781,874.625,0
13,0,20,456.788,860.022,0
13,0,21,386.188,871.701,0
13,0,22,386.096,924.609,0
13,0,23,365.525,927.626,0
13,0,24,336.041,904.105,0
13,1,0,1642.79,315.247,1
13,1,1,1704.76,391.966,1
13,1,2,1669.29,389.155,1
13,1,3,1660.56,492.05,1
13,1,4,1613.33,527.39,1
13,1,5,1742.93,394.916,1
13,1,6,1766.42,512.616,1
13,1,7,1654.64,556.874,1
13,1,8,1681.12,595.053,1
13,1,9,1648.7,592.128,1
13,1,10,1637,721.594,1
13,1,11,1639.87,857.015,1
13,1,12,1710.55,597.911,1
13,1,13,1707.68,745.155,1
13,1,14,1725.17,924.666,1
13,1,15,1642.86,294.938,1
13,1,16,1660.47,294.938,1
13,1,17,0,0,1
13,1,18,1707.62,309.586,1
13,1,19,1654.58,948.175,1
13,1,20,1672.24,953.99,1
13,1,21,1734.17,936.52,1
13,1,22,1569.29,860.04,1
13,1,23,1581.02,856.992,1
13,1,24,1657.48,880.398,1
14,0,0,362.523,362.578,0
14,0,1,318.294,433.147,0
14,0,2,262.43,441.985,0
14,0,3,268.34,550.825,0
14,0,4,356.619,527.476,0
14,0,5,371.363,418.405,0
14,0,6,427.195,503.782,0
14,0,7,433.214,553.873,0
14,0,8,362.595,624.501,0
14,0,9,321.377,630.376,0
14,0,10,318.547,759.781,0
14,0,11,339.007,886.509,0
14,0,12,400.791,621.442,0
14,0,13,394.878,742.326,0
14,0,14,400.743,857.016,0
14,0,15,344.883,347.833,0
14,0,16,365.426,347.76,0
14,0,17,306.632,362.359,0
14,0,18,0,0,0
14,0,19,459.761,874.572,0
14,0,20,456.777,859.992,0
14,0,21,386.176,874.58,0
14,0,22,386.069,924.579,0
14,0,23,365.492,927.587,0
14,0,24,336.027,904.057,0
14,1,0,1639.98,315.287,1
14,1,1,1704.76,391.948,1
14,1,2,1669.28,391.924,1
14,1,3,1660.45,497.932,1
14,1,4,1610.47,530.225,1
14,1,5,1742.91,392.045,1
14,1,6,1763.53,512.695,1
14,1,7,1657.41,559.675,1
14,1,8,1681.13,595.084,1
14,1,9,1648.68,594.969,1
14,1,10,1637.07,721.653,1
14,1,11,1639.85,857.033,1
14,1,12,1710.58,597.935,1
14,1,13,1707.69,745.209,1
14,1,14,1725.18,924.675,1
14,1,15,1640.01,294.969,1
14,1,16,1660.43,294.962,1
14,1,17,0,0,1
14,1,18,1707.56,309.576,1
14,1,19,1654.56,948.182,1
14,1,20,1672.23,953.994,1
14,1,21,1734.19,936.521,1
14,1,22,1569.33,860.037,1
14,1,23,1581.05,856.987,1
14,1,24,1657.47,880.408,1
15,0,0,362.555,362.56,0
15,0,1,318.261,433.2,0
15,0,2,265.282,442.011,0
15,0,3,268.424,550.817,0
15,0,4,362.536,527.36,0
15,0,5,368.483,421.372,0
15,0,6,412.57,503.643,0
15,0,7,439.027,553.948,0
15,0,8,362.536,624.412,0
15,0,9,321.339,627.491,0
15,0,10,321.26,756.958,0
15,0,11,339.024,889.319,0
15,0,12,397.83,618.537,0
15,0,13,392.051,742.275,0
15,0,14,400.757,857.055,0
15,0,15,344.917,347.821,0
15,0,16,365.415,344.976,0
15,0,17,309.472,362.365,0
15,0,18,0,0,0
15,0,19,459.743,874.581,0
15,0,20,456.771,860,0
15,0,21,386.171,874.659,0
15,0,22,386.087,924.571,0
15,0,23,365.521,927.577,0
15,0,24,336.03,904.076,0
15,1,0,1639.89,315.358,1
15,1,1,1704.75,391.995,1
15,1,2,1669.31,391.988,1
15,1,3,1657.47,500.885,1
15,1,4,1604.58,533.176,1
15,1,5,1742.87,392.06,1
15,1,6,1763.48,512.651,1
15,1,7,1657.4,559.708,1
15,1,8,1681.19,597.922,1
15,1,9,1651.61,595.02,1
15,1,10,1637.07,724.563,1
15,1,11,1639.83,857.069,1
15,1,12,1713.44,598.029,1
15,1,13,1707.67,748.088,1
15,1,14,1725.18,924.673,1
15,1,15,1639.98,297.727,1
15,1,16,1660.36,297.733,1
15,1,17,0,0,1
15,1,18,1707.53,309.563,1
15,1,19,1654.54,948.211,1
15,1,20,1672.21,954.018,1
15,1,21,1734.17,936.531,1
15,1,22,1569.32,860.058,1
15,1,23,1581.03,857.006,1
15,1,24,1657.46,880.44,1
16,0,0,362.6,362.538,0
16,0,1,315.552,433.248,0
16,0,2,265.36,441.986,0
16,0,3,271.235,550.828,0
16,0,4,365.508,527.25,0
16,0,5,365.605,427.206,0
16,0,6,409.647,506.809,0
16,0,7,456.602,574.294,0
16,0,8,362.517,624.398,0
16,0,9,321.373,627.474,0
16,0,10,318.541,759.782,0
16,0,11,339.021,889.348,0
16,0,12,394.927,618.507,0
16,0,13,392.03,742.298,0
16,0,14,400.788,857.04,0
16,0,15,347.761,347.804,0
16,0,16,365.418,344.972,0
16,0,17,309.545,362.37,0
16,0,18,0,0,0
16,0,19,462.539,871.742,0
16,0,20,459.543,859.995,0
16,0,21,388.87,874.633,0
16,0,22,386.097,924.584,0
16,0,23,365.535,927.591,0
16,0,24,336.018,904.094,0
16,1,0,1637.11,315.363,1
16,1,1,1704.73,392.021,1
16,1,2,1669.3,392.004,1
16,1,3,1654.58,503.754,1
16,1,4,1601.64,533.32,1
16,1,5,1740.01,394.867,1
16,1,6,1763.49,512.604,1
16,1,7,1657.45,559.743,1
16,1,8,1681.18,597.928,1
16,1,9,1648.77,595.027,1
16,1,10,1637.04,724.599,1
16,1,11,1639.84,857.056,1
16,1,12,1713.43,598.039,1
16,1,13,1707.65,748.089,1
16,1,14,1725.19,924.689,1
16,1,15,1639.9,297.756,1
16,1,16,1657.63,297.765,1
16,1,17,0,0,1
16,1,18,1707.47,309.583,1
16,1,19,1654.57,948.174,1
16,1,20,1669.37,951.291,1
16,1,21,1734.19,939.397,1
16,1,22,1572.17,860.042,1
16,1,23,1583.87,856.996,1
16,1,24,1657.47,880.416,1
17,0,0,362.637,362.538,0
17,0,1,318.245,433.267,0
17,0,2,268.221,439.16,0
17,0,3,274.19,550.893,0
17,0,4,371.345,527.18,0
17,0,5,365.543,427.3,0
17,0,6,406.652,521.397,0
17,0,7,459.769,580.362,0
17,0,8,362.559,624.46,0
17,0,9,324.239,630.349,0
17,0,10,321.298,759.833,0
17,0,11,338.998,886.523,0
17,0,12,394.941,618.586,0
17,0,13,394.849,742.335,0
17,0,14,400.766,857.025,0
17,0,15,347.846,347.793,0
17,0,16,365.428,344.986,0
17,0,17,312.409,359.619,0
17,0,18,0,0,0
17,0,19,459.776,874.65,0
17,0,20,456.794,860.039,0
17,0,21,386.188,874.591,0
17,0,22,386.098,924.581,0
17,0,23,365.533,927.59,0
17,0,24,336.011,904.065,0
17,1,0,1637.05,315.409,1
17,1,1,1704.67,392.003,1
17,1,2,1669.32,391.988,1
17,1,3,1657.5,503.683,1
17,1,4,1607.42,533.288,1
17,1,5,1737.01,392.031,1
17,1,6,1760.63,512.656,1
17,1,7,1657.4,562.612,1
17,1,8,1681.15,595.008,1
17,1,9,1648.75,592.113,1
17,1,10,1636.94,724.525,1
17,1,11,1639.87,857.018,1
17,1,12,1710.58,595.07,1
17,1,13,1707.62,745.143,1
17,1,14,1725.21,924.646,1
17,1,15,1637.07,297.815,1
17,1,16,1657.55,297.754,1
17,1,17,0,0,1
17,1,18,1704.72,309.496,1
17,1,19,1654.6,948.142,1
17,1,20,1672.22,951.266,1
17,1,21,1734.18,939.357,1
17,1,22,1572.22,860.012,1
17,1,23,1583.92,856.965,1
17,1,24,1657.51,877.631,1
18,0,0,365.349,362.555,0
18,0,1,315.558,435.983,0
18,0,2,268.264,441.98,0
18,0,3,277.189,550.88,0
18,0,4,380.184,524.336,0
18,0,5,365.496,430.129,0
18,0,6,409.51,524.4,0
18,0,7,477.228,594.969,0
18,0,8,362.566,624.543,0
18,0,9,324.257,633.287,0
18,0,10,321.28,759.901,0
18,0,11,338.992,886.521,0
18,0,12,397.791,621.453,0
18,0,13,394.858,745.108,0
18,0,14,400.742,857.007,0
18,0,15,350.745,347.805,0
18,0,16,365.422,344.991,0
18,0,17,312.464,359.627,0
18,0,18,0,0,0
18,0,19,459.775,874.609,0
18,0,20,456.807,860.003,0
18,0,21,386.15,871.736,0
18,0,22,386.135,924.585,0
18,0,23,365.569,927.602,0
18,0,24,336.009,904.06,0
18,1,0,1636.92,315.544,1
18,1,1,1704.64,391.945,1
18,1,2,1669.32,391.947,1
18,1,3,1654.63,503.694,1
18,1,4,1604.57,533.33,1
18,1,5,1734.17,391.948,1
18,1,6,1757.68,512.662,1
18,1,7,1657.44,562.648,1
18,1,8,1681.13,594.989,1
18,1,9,1648.7,592.095,1
18,1,10,1636.94,724.493,1
18,1,11,1637.04,857.05,1
18,1,12,1710.57,595.05,1
18,1,13,1707.61,745.108,1
18,1,14,1725.19,924.695,1
18,1,15,1636.99,300.751,1
18,1,16,1654.61,300.741,1
18,1,17,0,0,1
18,1,18,1704.57,312.382,1
18,1,19,1654.62,948.105,1
18,1,20,1672.24,951.248,1
18,1,21,1734.17,939.402,1
18,1,22,1572.25,859.981,1
18,1,23,1583.93,856.939,1
18,1,24,1657.4,880.415,1
19,0,0,365.402,362.55,0
19,0,1,315.546,436.037,0
